date,close,kdjk,kdjd,kdjj,signal,signal_2
2001-03-08,16.19,81.6799,70.534,103.9717,0.0,0.0
2001-03-09,16.2,84.1904,75.0861,102.3991,0.0,0.0
2001-03-12,16.13,84.896,78.3561,97.9758,0.0,0.0
2001-03-13,16.0,83.4335,80.0485,90.2034,0.0,0.0
2001-03-14,16.6,85.5404,81.8791,92.8628,0.0,0.0
2001-03-15,16.7,87.885,83.8811,95.8928,0.0,0.0
2001-03-16,16.56,85.1645,84.3089,86.8757,0.0,0.0
2001-03-19,16.65,83.9693,84.1957,83.5165,-1.0,-1.0
2001-03-20,16.7,83.4305,83.9406,82.4103,0.0,0.0
2001-03-21,16.96,85.3724,84.4179,87.2814,1.0,0.0
2001-03-22,16.75,80.6854,83.1737,75.7088,-1.0,-1.0
2001-03-23,16.09,59.528,75.2918,28.0003,0.0,0.0
2001-03-26,16.34,52.2536,67.6124,21.536,0.0,0.0
2001-03-27,16.28,43.3206,59.5152,10.9315,0.0,0.0
2001-03-28,16.38,40.3956,53.142,14.9028,0.0,0.0
2001-03-29,16.32,36.6273,47.6371,14.6079,0.0,0.0
2001-03-30,16.22,31.0849,42.1197,9.0153,0.0,0.0
2001-04-02,16.53,36.7839,40.3411,29.6694,0.0,0.0
2001-04-03,16.47,38.765,39.8157,36.6636,0.0,0.0
2001-04-04,16.19,33.5669,37.7328,25.2352,0.0,0.0
2001-04-05,16.3,34.8779,36.7812,31.0715,0.0,0.0
2001-04-06,16.31,35.9102,36.4908,34.7489,0.0,0.0
2001-04-09,16.27,34.9106,35.9641,32.8036,0.0,0.0
2001-04-10,16.4,39.7294,37.2192,44.7499,1.0,0.0
2001-04-11,16.49,46.7394,40.3926,59.4331,0.0,0.0
